2016-09-07 09:29:46,658 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@3445ab42: startup date [Wed Sep 07 09:29:46 CST 2016]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | WrapperSimpleAppMain
2016-09-07 09:29:47,642 | INFO  | PListStore:[C:\Users\間栦\Desktop\old_2\simulation\apache-activemq-5.6.0\bin\win64\..\..\data\localhost\tmp_storage ] started | org.apache.activemq.store.kahadb.plist.PListStore | WrapperSimpleAppMain
2016-09-07 09:29:47,658 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[C:\Users\間栦\Desktop\old_2\simulation\apache-activemq-5.6.0\bin\win64\..\..\data\kahadb] | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2016-09-07 09:29:47,864 | INFO  | ActiveMQ 5.6.0 JMS Message Broker (localhost) is starting | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2016-09-07 09:29:47,864 | INFO  | For help or more information please see: http://activemq.apache.org/ | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2016-09-07 09:29:48,054 | INFO  | Listening for connections at: tcp://DESKTOP-87VOL3N:61616 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2016-09-07 09:29:48,054 | INFO  | Connector openwire Started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2016-09-07 09:29:48,081 | INFO  | jetty-7.6.1.v20120215 | org.eclipse.jetty.server.Server | WrapperSimpleAppMain
2016-09-07 09:29:48,106 | INFO  | started o.e.j.s.ServletContextHandler{/,null} | org.eclipse.jetty.server.handler.ContextHandler | WrapperSimpleAppMain
2016-09-07 09:29:48,282 | INFO  | Started SelectChannelConnector@0.0.0.0:61614 | org.eclipse.jetty.server.AbstractConnector | WrapperSimpleAppMain
2016-09-07 09:29:48,282 | INFO  | Connector websocket Started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2016-09-07 09:29:48,285 | INFO  | Listening for connections at: stomp://DESKTOP-87VOL3N:61613 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2016-09-07 09:29:48,285 | INFO  | Connector stomp Started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2016-09-07 09:29:48,292 | INFO  | ActiveMQ JMS Message Broker (localhost, ID:DESKTOP-87VOL3N-11485-1473211787885-0:1) started | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2016-09-07 09:29:48,294 | WARN  | Store limit is 102400 mb, whilst the data directory: C:\Users\間栦\Desktop\old_2\simulation\apache-activemq-5.6.0\bin\win64\..\..\data\kahadb only has 5295 mb of usable space | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
